,phrase,count,count_no_rt,date,freq,freq_no_rt,odds,odds_no_rt,rank,rank_no_rt
81,in the open,3.0,3.0,2008-12-08,3.892742487688229e-07,3.915868862772944e-07,2568883.0,2553711.666666667,267543.0,264224.0
82,in the open,11.0,11.0,2008-12-09,1.4364528911356752e-06,1.4452298611817302e-06,696159.2727272728,691931.4545454546,42859.5,42540.5
83,in the open,5.0,5.0,2008-12-10,6.539567127741027e-07,6.582091183025578e-07,1529153.2,1519273.9999999998,124300.0,122959.0
84,in the open,6.0,6.0,2008-12-11,7.893207013956374e-07,7.936161516759189e-07,1266912.1666666667,1260055.0,96090.0,95284.5
85,in the open,11.0,11.0,2008-12-12,1.4619028127010116e-06,1.470117129577594e-06,684040.0,680217.9090909091,42815.5,42526.5
86,in the open,6.0,6.0,2008-12-13,8.30521096620056e-07,8.336995821914545e-07,1204063.3333333333,1199472.8333333333,97098.0,96498.0
87,in the open,7.0,7.0,2008-12-14,1.0179893256547852e-06,1.022090888410161e-06,982328.5714285715,978386.5714285714,75019.0,74574.0
88,in the open,7.0,7.0,2008-12-15,9.13659085863201e-07,9.188482421054855e-07,1094500.142857143,1088319.0,82269.5,81584.0
89,in the open,4.0,4.0,2008-12-16,5.471393366920394e-07,5.50691344797901e-07,1827688.0,1815899.2500000002,177497.0,175465.0
90,in the open,11.0,11.0,2008-12-17,1.4555940596941768e-06,1.4652010748715084e-06,687004.7272727274,682500.1818181819,49943.0,49541.5
91,in the open,3.0,1.0,2008-12-18,3.471478907872736e-07,1.1667157465090699e-07,2880616.666666666,8571068.0,150382.5,1525751.0
92,in the open,8.0,8.0,2008-12-19,1.0297203022229086e-06,1.0352668840382035e-06,971137.5000000001,965934.4999999999,70734.0,70186.5
93,in the open,5.0,5.0,2008-12-20,6.654254264378845e-07,6.679638524681597e-07,1502798.0,1497087.0000000002,133724.5,132946.5
94,in the open,9.0,9.0,2008-12-21,1.2245316132564527e-06,1.2292225536115171e-06,816638.7777777778,813522.3333333335,58012.5,57725.0
95,in the open,5.0,5.0,2008-12-22,6.477467610718706e-07,6.511869118724007e-07,1543813.2,1535657.4,138421.5,137121.0
96,in the open,7.0,7.0,2008-12-23,9.269051840880041e-07,9.320373043936638e-07,1078859.0,1072918.4285714286,81783.5,81178.0
97,in the open,3.0,3.0,2008-12-24,4.0241950704415227e-07,4.04054389492e-07,2484969.0,2474914.333333333,280292.0,278123.0
98,in the open,4.0,4.0,2008-12-25,6.240731538550949e-07,6.259207881594564e-07,1602376.25,1597646.25,162907.0,161969.5
99,in the open,7.0,7.0,2008-12-26,9.802135493238555e-07,9.836620755410317e-07,1020185.8571428574,1016609.2857142858,81575.0,81153.0
100,in the open,9.0,9.0,2008-12-27,1.2186104564088822e-06,1.2236031414515142e-06,820606.7777777779,817258.4444444445,59065.5,58731.0
101,in the open,12.0,12.0,2008-12-28,1.5932632580746583e-06,1.6009185003075763e-06,627642.6666666666,624641.4166666667,40559.0,40280.5
102,in the open,9.0,9.0,2008-12-29,1.1362781285650727e-06,1.1437523923487542e-06,880066.2222222221,874315.1111111109,62564.5,61947.0
103,in the open,7.0,7.0,2008-12-30,8.906390653379179e-07,8.9666132000331e-07,1122789.285714286,1115248.2857142857,86601.5,85743.0
104,in the open,6.0,6.0,2008-12-31,7.894522858985665e-07,7.946427306149223e-07,1266701.0,1258427.1666666667,106287.0,105122.0
